Supplementary Table 2. List of genes with pathogenic variant frequencies in Pan-cancer compared to controls																		
																		
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Case-control (PTVs)					Case-control (ClinVar Pathogenic variants)					Case-control (PTVs + ClinVar Pathogenic variants)				
				PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR
IQCE	ENSG00000106012	OMIM	AR	0.42	0.00	2.24	0.146	0.174	-	-	-	-	-	0.42	0.00	2.24	0.146	0.173
IRAK3	ENSG00000090376	OMIM	Other	0.26	0.04	1.49	0.218	0.257	-	-	-	-	-	0.26	0.04	1.49	0.218	0.256
IRAK4	ENSG00000198001	OMIM	Other	0.11	0.00	1.51	0.366	0.423	-	-	-	-	-	0.11	0.00	1.51	0.366	0.421
IRF7	ENSG00000185507	OMIM	AR	0.19	0.00	1.45	0.374	0.432	-	-	-	-	-	0.19	0.00	1.45	0.374	0.430
IRX5	ENSG00000176842	OMIM	AR	0.00	0.12	-0.88	0.609	0.670	-	-	-	-	-	0.00	0.12	-0.88	0.609	0.667
ISX	ENSG00000175329	SOD	Not OMIM	0.19	0.16	0.61	0.559	0.621	-	-	-	-	-	0.19	0.16	0.61	0.559	0.618
ITGA2B	ENSG00000005961	OMIM	ADAR	0.04	0.08	-0.22	0.882	0.903	-	-	-	-	-	0.11	0.08	0.31	0.810	0.835
ITGA7	ENSG00000135424	OMIM	AR	0.04	0.08	0.51	0.724	0.774	-	-	-	-	-	0.04	0.08	0.51	0.724	0.772
ITGA8	ENSG00000077943	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	1.47	0.336	0.389
ITGB6	ENSG00000115221	OMIM	AR	0.00	0.12	-1.53	0.352	0.408	-	-	-	-	-	0.04	0.12	-0.57	0.656	0.711
IVD	ENSG00000128928	OMIM	AR	0.11	0.00	1.14	0.498	0.561	0.30	0.12	0.95	0.389	0.447	0.34	0.12	1.04	0.341	0.394
IYD	ENSG00000009765	OMIM	AR	-	-	-	-	-	0.08	0.08	-0.21	0.872	0.891	0.11	0.08	0.37	0.756	0.794
JAK1	ENSG00000162434	SOD	Not OMIM	0.08	0.28	1.23	0.338	0.392	-	-	-	-	-	0.08	0.28	1.23	0.338	0.391
JAK2	ENSG00000096968	OMIM	AD	-	-	-	-	-	0.19	0.00	1.53	0.345	0.399	0.19	0.00	1.53	0.345	0.399
KAL1	ENSG00000011201	OMIM	Other	-	-	-	-	-	0.04	0.08	-0.73	0.608	0.668	0.04	0.08	-0.73	0.608	0.667
KANK1	ENSG00000107104	OMIM	Other	0.08	0.12	-0.65	0.593	0.655	-	-	-	-	-	0.08	0.12	-0.65	0.593	0.652
KBTBD13	ENSG00000234438	OMIM	AD	0.08	0.08	-0.97	0.451	0.513	-	-	-	-	-	0.08	0.08	-0.97	0.451	0.510
KCNE3	ENSG00000175538	OMIM	Other	0.00	0.12	-0.59	0.730	0.779	-	-	-	-	-	0.00	0.12	-0.59	0.730	0.777
KCNK18	ENSG00000186795	OMIM	Other	0.11	0.00	1.05	0.538	0.600	0.11	0.00	1.05	0.538	0.598	0.11	0.00	1.05	0.538	0.597
KCNQ4	ENSG00000117013	OMIM	AD	-	-	-	-	-	0.00	0.12	-1.77	0.274	0.320	0.00	0.12	-1.77	0.274	0.319
KCNT1	ENSG00000107147	OMIM	AD	0.08	0.04	0.96	0.505	0.567	-	-	-	-	-	0.08	0.04	0.96	0.505	0.564
KDM5A	ENSG00000073614	SOD	Not OMIM	0.04	0.08	0.37	0.827	0.852	-	-	-	-	-	0.04	0.08	0.37	0.827	0.851
KDM6B	ENSG00000132510	OMIM	AD	0.00	0.36	-2.73	0.110	0.131	-	-	-	-	-	0.00	0.36	-2.73	0.110	0.130
KEAP1	ENSG00000079999	SOD	Not OMIM	0.08	0.04	0.52	0.728	0.777	-	-	-	-	-	0.08	0.04	0.52	0.728	0.775
KEL	ENSG00000197993	OMIM	Other	0.11	0.08	0.57	0.666	0.723	-	-	-	-	-	0.11	0.08	0.57	0.666	0.720
KIAA0195	ENSG00000177728	OMIM	AR	0.08	0.08	0.96	0.481	0.544	-	-	-	-	-	0.08	0.08	0.96	0.481	0.541
KIAA0196	ENSG00000164961	OMIM	ADAR	0.11	0.04	0.95	0.539	0.602	-	-	-	-	-	0.11	0.04	0.95	0.539	0.599
KIAA0556	ENSG00000047578	OMIM	AR	0.15	0.04	0.32	0.802	0.829	-	-	-	-	-	0.15	0.04	0.32	0.802	0.828
KIAA0586	ENSG00000100578	OMIM	AR	0.15	0.32	-1.44	0.104	0.125	0.11	0.20	-1.28	0.220	0.259	0.15	0.32	-1.44	0.104	0.124
KIF1B	ENSG00000054523	OMIM	AD	-	-	-	-	-	0.08	0.04	0.93	0.481	0.541	0.08	0.04	0.93	0.481	0.540
KIF22	ENSG00000079616	OMIM	AD	0.04	0.08	0.11	0.944	0.954	-	-	-	-	-	0.04	0.08	0.11	0.944	0.953
KIF26B	ENSG00000162849	SOD	Not OMIM	0.08	0.08	-0.28	0.822	0.847	-	-	-	-	-	0.08	0.08	-0.28	0.822	0.846
KISS1R	ENSG00000116014	OMIM	ADAR	-	-	-	-	-	0.00	0.24	-1.32	0.409	0.467	0.04	0.24	-0.90	0.499	0.559
KL	ENSG00000133116	OMIM	Other	0.15	0.04	1.82	0.189	0.223	-	-	-	-	-	0.15	0.04	1.82	0.189	0.223
KLF1	ENSG00000105610	OMIM	AD	0.04	0.12	-0.84	0.543	0.605	-	-	-	-	-	0.04	0.12	-0.84	0.543	0.602
KLHL10	ENSG00000161594	OMIM	AD	0.11	0.00	1.31	0.433	0.494	0.15	0.00	1.33	0.422	0.480	0.26	0.00	1.87	0.235	0.276
KLHL6	ENSG00000172578	SOD	Not OMIM	0.04	0.20	-1.03	0.441	0.503	-	-	-	-	-	0.04	0.20	-1.03	0.441	0.500
KLK4	ENSG00000167749	OMIM	AR	0.04	0.28	0.41	0.748	0.790	0.04	0.28	0.41	0.748	0.788	0.04	0.28	0.41	0.748	0.788
KLKB1	ENSG00000164344	OMIM	AR	0.11	0.00	1.47	0.380	0.438	-	-	-	-	-	0.11	0.04	0.56	0.671	0.724
KMT2D	ENSG00000167548	OMIM	AD	0.08	0.12	0.71	0.562	0.624	-	-	-	-	-	0.08	0.16	0.53	0.653	0.707
KNTC1	ENSG00000184445	SOD	Not OMIM	0.11	0.00	1.09	0.523	0.585	-	-	-	-	-	0.11	0.00	1.09	0.523	0.582
KPTN	ENSG00000118162	OMIM	AR	0.04	0.08	-0.85	0.542	0.604	0.19	0.00	1.38	0.399	0.457	0.19	0.08	0.02	0.984	0.986
KREMEN1	ENSG00000183762	OMIM	AR	0.11	0.00	2.24	0.166	0.197	-	-	-	-	-	0.11	0.00	2.24	0.166	0.196
KRT2	ENSG00000172867	OMIM	AD	0.11	0.04	0.31	0.814	0.840	-	-	-	-	-	0.11	0.04	0.31	0.814	0.839
KRT25	ENSG00000204897	OMIM	AR	0.04	0.08	0.65	0.666	0.723	-	-	-	-	-	0.04	0.08	0.65	0.666	0.720
KRT4	ENSG00000170477	OMIM	AD	0.04	0.44	-2.46	0.043	0.051	-	-	-	-	-	0.04	0.44	-2.46	0.043	0.051
KRT74	ENSG00000170484	OMIM	AD	0.42	0.36	0.87	0.177	0.210	-	-	-	-	-	0.42	0.36	0.87	0.177	0.209
KRT75	ENSG00000170454	OMIM	Other	0.11	0.00	1.01	0.555	0.617	-	-	-	-	-	0.11	0.00	1.01	0.555	0.614
KRT9	ENSG00000171403	OMIM	AD	0.08	0.04	1.96	0.227	0.267	-	-	-	-	-	0.08	0.04	1.96	0.227	0.267
KTN1	ENSG00000126777	SOD	Not OMIM	0.19	0.00	1.46	0.369	0.426	-	-	-	-	-	0.19	0.00	1.46	0.369	0.424
KYNU	ENSG00000115919	OMIM	AR	0.19	0.00	1.53	0.343	0.398	-	-	-	-	-	0.19	0.00	1.53	0.343	0.396
LAMA1	ENSG00000101680	OMIM	AR	0.08	0.04	1.24	0.401	0.460	-	-	-	-	-	0.08	0.04	1.24	0.401	0.458
LAMA2	ENSG00000196569	OMIM	AR	0.34	0.40	-0.43	0.542	0.605	0.15	0.08	1.11	0.398	0.456	0.34	0.40	-0.43	0.542	0.602
LAMA3	ENSG00000053747	OMIM	AR	0.11	0.16	0.17	0.874	0.895	-	-	-	-	-	0.11	0.16	0.17	0.874	0.894
LAMB3	ENSG00000196878	OMIM	AR	0.23	0.04	1.21	0.378	0.436	0.19	0.04	1.09	0.437	0.496	0.23	0.04	1.21	0.378	0.434
LARS	ENSG00000133706	OMIM	AR	0.08	0.04	0.33	0.829	0.853	-	-	-	-	-	0.08	0.04	0.33	0.829	0.852
LARS2	ENSG00000011376	OMIM	AR	-	-	-	-	-	0.08	0.12	-1.16	0.350	0.405	0.08	0.16	-1.75	0.128	0.152
LBR	ENSG00000143815	OMIM	AD	-	-	-	-	-	0.11	0.04	0.28	0.837	0.859	0.11	0.08	-0.47	0.693	0.744
LCP1	ENSG00000136167	SOD	Not OMIM	0.23	0.00	1.53	0.341	0.396	-	-	-	-	-	0.23	0.00	1.53	0.341	0.395
LCTL	ENSG00000188501	SOD	Not OMIM	0.04	0.16	-0.79	0.531	0.594	-	-	-	-	-	0.04	0.16	-0.79	0.531	0.591
LDB3	ENSG00000122367	OMIM	AD	0.15	0.00	2.25	0.160	0.190	-	-	-	-	-	0.15	0.00	2.25	0.160	0.189
LDLR	ENSG00000130164	OMIM	AD	0.04	0.08	-0.21	0.886	0.906	0.26	0.36	0.52	0.534	0.595	0.26	0.36	0.52	0.534	0.594
LEPR	ENSG00000116678	OMIM	AR	-	-	-	-	-	0.08	0.20	-0.94	0.441	0.500	0.11	0.20	-0.58	0.600	0.659
LEPREL1	ENSG00000090530	OMIM	AR	0.11	0.04	0.69	0.635	0.694	-	-	-	-	-	0.11	0.04	0.69	0.635	0.691
LIFR	ENSG00000113594	OMIM	AR	0.08	0.08	0.26	0.849	0.873	-	-	-	-	-	0.08	0.08	0.26	0.849	0.871
LIG4	ENSG00000174405	OMIM	AR	0.15	0.16	0.43	0.692	0.747	0.15	0.16	0.43	0.692	0.746	0.15	0.16	0.43	0.692	0.744
LILRB1	ENSG00000104972	SOD	Not OMIM	0.04	0.08	0.02	0.988	0.989	-	-	-	-	-	0.04	0.08	0.02	0.988	0.989
LIMA1	ENSG00000050405	OMIM	Other	-	-	-	-	-	-	-	-	-	-	0.08	0.04	0.52	0.705	0.755
LIPA	ENSG00000107798	OMIM	AR	0.08	0.04	0.29	0.849	0.873	0.34	0.12	0.52	0.630	0.688	0.34	0.16	0.32	0.752	0.791
LIPE	ENSG00000079435	OMIM	AR	0.11	0.28	-0.36	0.745	0.788	-	-	-	-	-	0.11	0.28	-0.36	0.745	0.787
LIPH	ENSG00000163898	OMIM	AR	0.08	0.12	0.86	0.558	0.620	0.34	0.28	1.46	0.065	0.078	0.42	0.28	1.59	0.040	0.048
LIPT1	ENSG00000144182	OMIM	AR	0.15	0.32	-0.82	0.443	0.505	0.19	0.12	-1.02	0.302	0.352	0.26	0.36	-0.72	0.420	0.478
LMBRD1	ENSG00000168216	OMIM	AR	-	-	-	-	-	0.15	0.00	1.28	0.440	0.500	0.15	0.00	1.28	0.440	0.499
LMF1	ENSG00000103227	OMIM	AR	0.11	0.00	1.29	0.441	0.503	-	-	-	-	-	0.11	0.00	1.29	0.441	0.500
LOXHD1	ENSG00000167210	OMIM	AR	0.26	0.04	0.65	0.584	0.646	0.15	0.04	0.13	0.921	0.936	0.26	0.04	0.65	0.584	0.643
LPA	ENSG00000198670	OMIM	Other	0.08	0.16	-0.42	0.755	0.795	-	-	-	-	-	0.08	0.16	-0.42	0.755	0.793
LPIN1	ENSG00000134324	OMIM	AR	0.11	0.04	1.50	0.360	0.417	-	-	-	-	-	0.11	0.04	1.50	0.360	0.415
LPL	ENSG00000175445	OMIM	AR	0.08	0.04	1.60	0.280	0.327	0.15	0.04	1.01	0.437	0.497	0.19	0.08	1.28	0.277	0.323
LRIG2	ENSG00000198799	OMIM	AR	0.00	0.80	-4.52	0.002	0.003	-	-	-	-	-	0.00	0.80	-4.52	0.002	0.003
LRP2	ENSG00000081479	OMIM	AR	-	-	-	-	-	0.11	0.08	-0.94	0.425	0.483	0.11	0.12	-1.47	0.175	0.207
LRP6	ENSG00000070018	OMIM	AD	-	-	-	-	-	0.15	0.00	1.17	0.484	0.545	0.15	0.04	0.79	0.583	0.642
LRP8	ENSG00000157193	OMIM	Other	0.00	0.20	-1.66	0.304	0.354	-	-	-	-	-	0.00	0.20	-1.66	0.304	0.353
LRPAP1	ENSG00000163956	OMIM	AR	0.08	0.04	1.44	0.339	0.394	-	-	-	-	-	0.08	0.04	1.44	0.339	0.393
LRRC6	ENSG00000129295	OMIM	AR	-	-	-	-	-	0.15	0.00	2.37	0.181	0.215	0.15	0.00	2.37	0.181	0.214
LRRK2	ENSG00000188906	OMIM	AD	0.19	0.12	0.85	0.407	0.467	0.68	0.28	0.87	0.174	0.206	0.87	0.40	0.91	0.105	0.126
LSS	ENSG00000160285	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	1.24	0.405	0.462
LTBP2	ENSG00000119681	OMIM	AR	-	-	-	-	-	0.08	0.04	0.33	0.809	0.834	0.08	0.08	0.11	0.934	0.945
LY75-CD302	ENSG00000248672	SOD	Not OMIM	0.61	0.44	-0.16	0.801	0.828	-	-	-	-	-	0.61	0.44	-0.16	0.801	0.827
LYST	ENSG00000143669	OMIM	AR	0.19	0.08	1.40	0.238	0.279	-	-	-	-	-	0.19	0.08	1.40	0.238	0.279
LZTR1	ENSG00000099949	OMIM	AD	0.15	0.08	1.77	0.226	0.266	0.04	0.12	0.67	0.619	0.678	0.19	0.16	1.63	0.144	0.170
MACC1	ENSG00000183742	SOD	Not OMIM	0.04	0.24	0.60	0.677	0.733	-	-	-	-	-	0.04	0.24	0.60	0.677	0.730
MAD1L1	ENSG00000002822	OMIM	Other	0.11	0.00	1.84	0.276	0.323	-	-	-	-	-	0.11	0.00	1.84	0.276	0.322
MAK	ENSG00000111837	OMIM	AR	0.08	0.04	0.51	0.743	0.787	-	-	-	-	-	0.11	0.08	0.72	0.572	0.632
MAN2B1	ENSG00000104774	OMIM	AR	0.15	0.08	0.65	0.605	0.667	0.26	0.04	0.72	0.546	0.606	0.34	0.12	0.64	0.515	0.575
MAP3K1	ENSG00000095015	OMIM	AD	-	-	-	-	-	0.19	0.00	1.77	0.271	0.316	0.19	0.08	1.22	0.348	0.403
MAP3K13	ENSG00000073803	SOD	Not OMIM	0.11	0.00	1.54	0.357	0.414	-	-	-	-	-	0.11	0.00	1.54	0.357	0.413
MAPT	ENSG00000186868	OMIM	AD	0.11	0.08	0.48	0.736	0.782	-	-	-	-	-	0.11	0.08	0.48	0.736	0.780
MARS	ENSG00000166986	OMIM	ADAR	0.19	0.08	1.12	0.341	0.396	-	-	-	-	-	0.19	0.12	0.38	0.724	0.772
MARS2	ENSG00000247626	OMIM	AR	0.08	0.04	0.94	0.512	0.574	-	-	-	-	-	0.08	0.04	0.94	0.512	0.571
MARVELD2	ENSG00000152939	OMIM	AR	0.11	0.04	-0.16	0.907	0.924	-	-	-	-	-	0.11	0.04	-0.16	0.907	0.923
MASP2	ENSG00000009724	OMIM	AR	0.08	0.24	-0.53	0.636	0.695	-	-	-	-	-	0.08	0.24	-0.53	0.636	0.692
MC1R	ENSG00000258839	OMIM	AR	0.76	0.60	-0.48	0.410	0.470	-	-	-	-	-	0.79	0.60	-0.26	0.664	0.718
MC4R	ENSG00000166603	OMIM	ADAR	-	-	-	-	-	0.19	0.28	-0.24	0.809	0.834	0.23	0.28	-0.11	0.905	0.922
MCCC1	ENSG00000078070	OMIM	AR	0.15	0.08	0.51	0.659	0.716	0.26	0.08	0.86	0.429	0.488	0.26	0.08	0.86	0.429	0.488
MCCC2	ENSG00000131844	OMIM	AR	-	-	-	-	-	0.08	0.12	-0.77	0.508	0.570	0.08	0.12	-0.77	0.508	0.568
MCM3AP	ENSG00000160294	OMIM	AR	0.04	0.08	0.14	0.925	0.939	-	-	-	-	-	0.08	0.08	0.38	0.787	0.815
MCM8	ENSG00000125885	OMIM	AR	0.19	0.04	2.07	0.173	0.206	-	-	-	-	-	0.19	0.04	2.07	0.173	0.205
MDN1	ENSG00000112159	SOD	Not OMIM	0.04	0.08	-1.01	0.475	0.538	-	-	-	-	-	0.04	0.08	-1.01	0.475	0.535
MEF2A	ENSG00000068305	OMIM	AD	-	-	-	-	-	0.19	0.16	-0.83	0.394	0.453	0.19	0.16	-0.83	0.394	0.451
MEF2B	ENSG00000213999	SOD	Not OMIM	0.04	0.12	-0.07	0.966	0.971	-	-	-	-	-	0.04	0.12	-0.07	0.966	0.971
MEFV	ENSG00000103313	OMIM	ADAR	-	-	-	-	-	0.49	0.20	1.38	0.074	0.088	0.57	0.20	1.45	0.056	0.067
MEGF8	ENSG00000105429	OMIM	AR	0.11	0.00	1.17	0.486	0.549	-	-	-	-	-	0.11	0.00	1.17	0.486	0.546
MEI1	ENSG00000167077	OMIM	AR	0.08	0.08	-0.19	0.887	0.907	-	-	-	-	-	0.08	0.08	-0.19	0.887	0.906
MEN1	ENSG00000133895	CPG	Not OMIM	0.15	0.00	1.46	0.371	0.429	-	-	-	-	-	0.15	0.00	1.46	0.371	0.427
METTL13	ENSG00000010165	OMIM	ADAR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	1.15	0.474	0.534
METTL23	ENSG00000181038	OMIM	AR	0.19	0.00	2.30	0.149	0.177	-	-	-	-	-	0.19	0.00	2.30	0.149	0.176
MFN2	ENSG00000116688	OMIM	AD	-	-	-	-	-	0.08	0.04	-0.10	0.944	0.955	0.08	0.04	-0.10	0.944	0.953
MFRP	ENSG00000235718	OMIM	AR	0.15	0.08	-0.43	0.710	0.762	0.08	0.04	-0.56	0.696	0.750	0.15	0.08	-0.43	0.710	0.760
MFSD8	ENSG00000164073	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.11	0.00	1.50	0.365	0.421
MIA2	ENSG00000150526	SOD	Not OMIM	0.23	0.00	1.88	0.239	0.281	-	-	-	-	-	0.23	0.00	1.88	0.239	0.280
MIB1	ENSG00000101752	OMIM	AD	0.15	0.08	0.35	0.762	0.799	0.11	0.04	1.61	0.264	0.309	0.26	0.12	1.02	0.317	0.368
MICALCL	ENSG00000133808	SOD	Not OMIM	0.15	0.12	0.08	0.938	0.950	-	-	-	-	-	0.15	0.12	0.08	0.938	0.949
MIPEP	ENSG00000027001	OMIM	AR	0.11	0.00	4.48	0.035	0.042	-	-	-	-	-	0.11	0.00	4.48	0.035	0.042
MKS1	ENSG00000011143	OMIM	AR	0.15	0.00	1.35	0.413	0.473	-	-	-	-	-	0.15	0.00	1.35	0.413	0.471
MLC1	ENSG00000100427	OMIM	AR	-	-	-	-	-	0.11	0.00	1.68	0.312	0.362	0.11	0.00	1.68	0.312	0.363
MLH3	ENSG00000119684	OMIM	AD	0.15	0.20	-0.83	0.395	0.454	-	-	-	-	-	0.15	0.20	-0.83	0.395	0.452
MMAA	ENSG00000151611	OMIM	AR	0.23	0.04	1.38	0.344	0.400	0.26	0.04	2.19	0.129	0.153	0.26	0.04	2.19	0.129	0.153
MMAB	ENSG00000139428	OMIM	AR	-	-	-	-	-	0.19	0.00	1.42	0.382	0.439	0.19	0.00	1.42	0.382	0.438
MMACHC	ENSG00000132763	OMIM	AR	0.42	0.28	-0.56	0.451	0.513	0.23	0.20	-0.44	0.645	0.702	0.57	0.40	-0.59	0.365	0.420
MME	ENSG00000196549	OMIM	AD	0.11	0.00	1.13	0.504	0.566	-	-	-	-	-	0.11	0.00	1.13	0.504	0.563
MMP1	ENSG00000196611	OMIM	AR	0.23	0.08	-0.07	0.946	0.955	-	-	-	-	-	0.23	0.08	-0.07	0.946	0.955
MMP19	ENSG00000123342	OMIM	AD	0.11	0.20	0.55	0.617	0.678	-	-	-	-	-	0.11	0.20	0.55	0.617	0.675
MMP21	ENSG00000154485	OMIM	AR	0.11	0.04	-0.35	0.797	0.824	-	-	-	-	-	0.11	0.04	-0.35	0.797	0.824
MMP3	ENSG00000149968	OMIM	Other	0.08	0.12	0.33	0.811	0.837	-	-	-	-	-	0.08	0.12	0.33	0.811	0.836
MOCOS	ENSG00000075643	OMIM	AR	0.11	0.08	0.87	0.572	0.634	-	-	-	-	-	0.15	0.08	1.03	0.490	0.549
MOGS	ENSG00000115275	OMIM	AR	0.04	0.08	0.19	0.908	0.925	-	-	-	-	-	0.04	0.08	0.19	0.908	0.924
MPDZ	ENSG00000107186	OMIM	AR	0.11	0.16	0.04	0.974	0.977	-	-	-	-	-	0.11	0.16	0.04	0.974	0.977
MPL	ENSG00000117400	CPG	Not OMIM	-	-	-	-	-	0.19	0.04	0.07	0.954	0.962	0.23	0.04	0.30	0.810	0.835
MPO	ENSG00000005381	OMIM	ADAR	0.34	0.32	-0.84	0.256	0.300	0.68	0.36	-0.35	0.601	0.661	0.76	0.52	-0.49	0.406	0.463
MPZL2	ENSG00000149573	OMIM	AR	0.15	0.08	1.41	0.297	0.347	0.11	0.00	0.96	0.580	0.640	0.15	0.08	1.41	0.297	0.346
MRPS7	ENSG00000125445	OMIM	AR	-	-	-	-	-	0.04	0.08	-1.43	0.300	0.349	0.04	0.08	-1.43	0.300	0.349
MS4A1	ENSG00000156738	OMIM	AR	0.00	0.12	-0.57	0.742	0.786	-	-	-	-	-	0.00	0.12	-0.57	0.742	0.785
MS4A2	ENSG00000149534	OMIM	AD	0.23	0.16	1.19	0.361	0.418	-	-	-	-	-	0.23	0.16	1.19	0.361	0.416
MSH2	ENSG00000095002	CPG	Not OMIM	0.08	0.04	0.10	0.946	0.955	-	-	-	-	-	0.08	0.04	0.10	0.946	0.955
MSH3	ENSG00000113318	OMIM	AR	0.11	0.08	0.20	0.873	0.895	-	-	-	-	-	0.11	0.08	0.20	0.873	0.893
MSH5	ENSG00000204410	OMIM	AR	0.11	0.00	1.06	0.533	0.596	-	-	-	-	-	0.11	0.00	1.06	0.533	0.593
MSRB3	ENSG00000174099	OMIM	AR	0.00	0.12	-0.76	0.653	0.711	-	-	-	-	-	0.00	0.12	-0.76	0.653	0.708
MST1R	ENSG00000164078	OMIM	AD	0.23	0.16	0.17	0.869	0.891	-	-	-	-	-	0.23	0.16	0.17	0.869	0.889
MSX1	ENSG00000163132	OMIM	AD	-	-	-	-	-	0.00	0.20	-2.30	0.141	0.167	0.00	0.20	-2.30	0.141	0.167
MTFMT	ENSG00000103707	OMIM	AR	-	-	-	-	-	0.15	0.00	1.37	0.406	0.464	0.15	0.00	1.37	0.406	0.463
MTHFR	ENSG00000177000	OMIM	ADAR	-	-	-	-	-	0.08	0.12	-0.08	0.945	0.955	0.08	0.12	-0.08	0.945	0.954
MTHFS	ENSG00000136371	OMIM	AR	0.11	0.00	1.21	0.473	0.536	-	-	-	-	-	0.11	0.00	1.21	0.473	0.533
MTNR1B	ENSG00000134640	OMIM	AD	-	-	-	-	-	0.15	0.08	-0.74	0.513	0.574	0.15	0.12	-0.98	0.351	0.405
MTR	ENSG00000116984	OMIM	AR	0.00	0.12	-1.24	0.453	0.515	-	-	-	-	-	0.04	0.12	-0.78	0.572	0.631
MUT	ENSG00000146085	OMIM	AR	-	-	-	-	-	0.23	0.56	-0.57	0.520	0.581	0.23	0.56	-0.57	0.520	0.579
MUTYH	ENSG00000132781	CPG	Not OMIM	0.00	0.36	-0.50	0.769	0.804	1.17	0.96	-0.54	0.260	0.305	1.17	0.96	-0.54	0.260	0.304
MVD	ENSG00000167508	OMIM	AD	-	-	-	-	-	-	-	-	-	-	0.08	0.04	2.35	0.154	0.182
MVK	ENSG00000110921	OMIM	AR	-	-	-	-	-	0.49	0.00	2.46	0.108	0.129	0.53	0.00	2.51	0.099	0.118
MYB	ENSG00000118513	OMIM	Other	0.08	0.04	1.48	0.286	0.334	-	-	-	-	-	0.08	0.04	1.48	0.286	0.333
MYH14	ENSG00000105357	OMIM	AD	0.04	0.16	-0.77	0.558	0.620	-	-	-	-	-	0.04	0.16	-0.77	0.558	0.617
MYH3	ENSG00000109063	OMIM	AD	0.08	0.04	-0.33	0.815	0.841	-	-	-	-	-	0.08	0.04	-0.33	0.815	0.840
MYH6	ENSG00000197616	OMIM	AD	0.08	0.12	-0.19	0.884	0.904	-	-	-	-	-	0.08	0.12	-0.19	0.884	0.903
MYH8	ENSG00000133020	OMIM	AD	0.42	0.28	0.22	0.776	0.809	-	-	-	-	-	0.42	0.28	0.22	0.776	0.808
MYO15A	ENSG00000091536	OMIM	AR	0.23	0.12	0.56	0.611	0.672	0.08	0.20	-1.88	0.087	0.104	0.23	0.28	-0.73	0.403	0.460
MYO3A	ENSG00000095777	OMIM	AR	0.11	0.00	1.27	0.448	0.511	-	-	-	-	-	0.11	0.00	1.27	0.448	0.508
MYO7A	ENSG00000137474	OMIM	AR	0.19	0.08	0.03	0.979	0.981	0.34	0.08	1.00	0.388	0.447	0.38	0.12	0.90	0.395	0.451
MYOC	ENSG00000034971	OMIM	AD	0.34	0.32	-0.46	0.568	0.630	0.26	0.16	-0.48	0.598	0.658	0.38	0.36	-0.65	0.388	0.444
MYOCD	ENSG00000141052	OMIM	AD	-	-	-	-	-	0.04	0.12	0.66	0.621	0.680	0.04	0.12	0.66	0.621	0.679
NAGA	ENSG00000198951	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	-1.34	0.325	0.377
NAGLU	ENSG00000108784	OMIM	ADAR	-	-	-	-	-	0.15	0.04	-0.02	0.990	0.991	0.19	0.04	0.20	0.870	0.891
NBAS	ENSG00000151779	OMIM	AR	0.26	0.04	1.56	0.232	0.273	0.11	0.00	1.14	0.501	0.562	0.26	0.04	1.56	0.232	0.273
NCAPD2	ENSG00000010292	OMIM	AR	0.08	0.04	0.42	0.788	0.817	-	-	-	-	-	0.08	0.04	0.42	0.788	0.816
NCKIPSD	ENSG00000213672	SOD	Not OMIM	0.04	0.16	-0.42	0.764	0.801	-	-	-	-	-	0.04	0.16	-0.42	0.764	0.799
NDUFAF4	ENSG00000123545	OMIM	AR	0.00	0.12	-0.60	0.724	0.774	-	-	-	-	-	0.00	0.12	-0.60	0.724	0.772
NDUFAF5	ENSG00000101247	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.00	0.12	-2.03	0.239	0.280
NDUFAF6	ENSG00000156170	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	0.76	0.566	0.625
NDUFB3	ENSG00000119013	OMIM	AR	-	-	-	-	-	0.26	0.08	1.31	0.320	0.371	0.26	0.08	1.31	0.320	0.371
NDUFS1	ENSG00000023228	OMIM	AR	0.15	0.04	0.64	0.619	0.679	-	-	-	-	-	0.15	0.04	0.64	0.619	0.676
NDUFV1	ENSG00000167792	OMIM	AR	0.11	0.00	1.15	0.498	0.560	-	-	-	-	-	0.11	0.00	1.15	0.498	0.557
NEB	ENSG00000183091	OMIM	AR	0.26	0.12	0.27	0.786	0.815	0.11	0.12	-1.25	0.239	0.281	0.26	0.16	-0.23	0.806	0.832
NEK1	ENSG00000137601	OMIM	ADAR	0.11	0.04	1.40	0.357	0.414	-	-	-	-	-	0.11	0.04	1.40	0.357	0.413
NEK8	ENSG00000160602	OMIM	AR	0.08	0.04	0.43	0.780	0.812	-	-	-	-	-	0.08	0.04	0.43	0.780	0.811
NEK9	ENSG00000119638	OMIM	AR	0.08	0.04	0.29	0.846	0.871	-	-	-	-	-	0.08	0.04	0.29	0.846	0.869
